class,instance,kernel,reps_sa,reps_flat,median_sa_s,median_flat_s,median_diff_s,min_sa_s,min_flat_s,cv_sa,cv_flat,rel_iqr_sa,rel_iqr_flat,meta_sa_s,meta_flat_s,diag_sa_s,diag_flat_s,apply_sa_s,apply_flat_s,cached_sa_s,cached_flat_s
Simple,caso10b.txt,Matrix-only,20,20,0.049964,0.008365,0.041599,0.049542,0.008129,0.0088,0.0304,0.0092,0.0202,0.039889,0.000193,0.004286,0.004168,0.005644,0.003951,0.009981,0.008112
Simple,caso10c.txt,Augmented,20,20,0.048995,0.008380,0.040615,0.048307,0.008208,0.0385,0.0185,0.0109,0.0279,0.040003,0.000194,0.004417,0.004189,0.004427,0.003943,0.008865,0.008132
Simple,caso10c.txt,Matrix-only,20,20,0.050065,0.008492,0.041573,0.049683,0.008276,0.0061,0.1025,0.0071,0.0281,0.040020,0.000194,0.004312,0.004253,0.005660,0.003944,0.009966,0.008236
Simple,caso10d.txt,Augmented,20,20,0.048712,0.008393,0.040319,0.048399,0.008170,0.0135,0.0168,0.0052,0.0211,0.039849,0.000192,0.004361,0.004179,0.004415,0.003935,0.008790,0.008138
Simple,caso10d.txt,Matrix-only,20,20,0.050100,0.008394,0.041705,0.049661,0.008184,0.0174,0.0110,0.0096,0.0145,0.039927,0.000194,0.004318,0.004200,0.005662,0.003936,0.009977,0.008140
Simple,caso10e.txt,Augmented,20,20,0.048762,0.008335,0.040427,0.048344,0.008208,0.0143,0.0135,0.0055,0.0143,0.039899,0.000193,0.004378,0.004140,0.004414,0.003935,0.008783,0.008078
Simple,caso10e.txt,Matrix-only,20,20,0.050117,0.008411,0.041705,0.049656,0.008174,0.0206,0.0214,0.0160,0.0166,0.040004,0.000194,0.004316,0.004188,0.005666,0.003941,0.009989,0.008151
Simple,caso10f.txt,Augmented,20,20,0.048857,0.008366,0.040490,0.048226,0.008233,0.0082,0.0153,0.0066,0.0172,0.039964,0.000193,0.004338,0.004156,0.004419,0.003946,0.008762,0.008096
Simple,caso10f.txt,Matrix-only,20,20,0.049876,0.008347,0.041530,0.049192,0.008126,0.0060,0.1109,0.0067,0.0193,0.039891,0.000193,0.004320,0.004176,0.005647,0.003921,0.010011,0.008091
Simple,caso11a.txt,Augmented,20,20,0.048610,0.008177,0.040433,0.047864,0.008003,0.0111,0.0182,0.0110,0.0275,0.039802,0.000195,0.004222,0.003942,0.004377,0.003902,0.008632,0.007907
