class,instance,kernel,policy,result,bytes
Simple,caso22d.txt,Augmented,selective,identical,1777112
Simple,caso22d.txt,Augmented,role-blind,identical,1787894
Simple,caso22d.txt,Matrix-only,selective,identical,1734369
Simple,caso22d.txt,Matrix-only,role-blind,identical,1734369
Simple,caso22e.txt,Augmented,selective,identical,1777111
Simple,caso22e.txt,Augmented,role-blind,identical,1787893
Simple,caso22e.txt,Matrix-only,selective,identical,1734368
Simple,caso22e.txt,Matrix-only,role-blind,identical,1734368
Simple,caso22f.txt,Augmented,selective,identical,1777115
Simple,caso22f.txt,Augmented,role-blind,identical,1787897
Simple,caso22f.txt,Matrix-only,selective,identical,1734372
Simple,caso22f.txt,Matrix-only,role-blind,identical,1734372
Simple,caso23a.txt,Augmented,selective,identical,1750597
Simple,caso23a.txt,Augmented,role-blind,identical,1761499
Simple,caso23a.txt,Matrix-only,selective,identical,1729829
Simple,caso23a.txt,Matrix-only,role-blind,identical,1729829
Simple,caso23b.txt,Augmented,selective,identical,1750597
Simple,caso23b.txt,Augmented,role-blind,identical,1761499
Simple,caso23b.txt,Matrix-only,selective,identical,1729829
Simple,caso23b.txt,Matrix-only,role-blind,identical,1729829
Simple,caso23c.txt,Augmented,selective,identical,1750594
Simple,caso23c.txt,Augmented,role-blind,identical,1761496
Simple,caso23c.txt,Matrix-only,selective,identical,1729826
Simple,caso23c.txt,Matrix-only,role-blind,identical,1729826
Simple,caso23d.txt,Augmented,selective,identical,1750681
Simple,caso23d.txt,Augmented,role-blind,identical,1761485
Simple,caso23d.txt,Matrix-only,selective,identical,1729913
Simple,caso23d.txt,Matrix-only,role-blind,identical,1729913
Simple,caso23e.txt,Augmented,selective,identical,1750684
Simple,caso23e.txt,Augmented,role-blind,identical,1761488
Simple,caso23e.txt,Matrix-only,selective,identical,1729916
Simple,caso23e.txt,Matrix-only,role-blind,identical,1729916
Simple,caso23f.txt,Augmented,selective,identical,1750681
Simple,caso23f.txt,Augmented,role-blind,identical,1761485
Simple,caso23f.txt,Matrix-only,selective,identical,1729913
Simple,caso23f.txt,Matrix-only,role-blind,identical,1729913
Simple,caso24a.txt,Augmented,selective,identical,1765932
Simple,caso24a.txt,Augmented,role-blind,identical,1776765
Simple,caso24a.txt,Matrix-only,selective,identical,1732845
Simple,caso24a.txt,Matrix-only,role-blind,identical,1732845
Simple,caso24b.txt,Augmented,selective,identical,1765932
Simple,caso24b.txt,Augmented,role-blind,identical,1776765
Simple,caso24b.txt,Matrix-only,selective,identical,1732845
Simple,caso24b.txt,Matrix-only,role-blind,identical,1732845
Simple,caso24c.txt,Augmented,selective,identical,1765929
Simple,caso24c.txt,Augmented,role-blind,identical,1776762
Simple,caso24c.txt,Matrix-only,selective,identical,1732842
Simple,caso24c.txt,Matrix-only,role-blind,identical,1732842
Simple,caso24d.txt,Augmented,selective,identical,1765988
Simple,caso24d.txt,Augmented,role-blind,identical,1776748
Simple,caso24d.txt,Matrix-only,selective,identical,1732901
Simple,caso24d.txt,Matrix-only,role-blind,identical,1732901
Simple,caso24e.txt,Augmented,selective,identical,1765988
Simple,caso24e.txt,Augmented,role-blind,identical,1776748
Simple,caso24e.txt,Matrix-only,selective,identical,1732901
Simple,caso24e.txt,Matrix-only,role-blind,identical,1732901
Simple,caso24f.txt,Augmented,selective,identical,1765985
Simple,caso24f.txt,Augmented,role-blind,identical,1776745
Simple,caso24f.txt,Matrix-only,selective,identical,1732898
Simple,caso24f.txt,Matrix-only,role-blind,identical,1732898
Simple,caso25a.txt,Augmented,selective,identical,1768189
Simple,caso25a.txt,Augmented,role-blind,identical,1776333
Simple,caso25a.txt,Matrix-only,selective,identical,1729602
Simple,caso25a.txt,Matrix-only,role-blind,identical,1729602
Simple,caso25b.txt,Augmented,selective,identical,1768189
Simple,caso25b.txt,Augmented,role-blind,identical,1776333
Simple,caso25b.txt,Matrix-only,selective,identical,1729602
Simple,caso25b.txt,Matrix-only,role-blind,identical,1729602
Simple,caso25c.txt,Augmented,selective,identical,1768189
Simple,caso25c.txt,Augmented,role-blind,identical,1776333
Simple,caso25c.txt,Matrix-only,selective,identical,1729602
Simple,caso25c.txt,Matrix-only,role-blind,identical,1729602
Simple,caso25d.txt,Augmented,selective,identical,1768361
Simple,caso25d.txt,Augmented,role-blind,identical,1779336
Simple,caso25d.txt,Matrix-only,selective,identical,1729774
Simple,caso25d.txt,Matrix-only,role-blind,identical,1729774
Simple,caso25e.txt,Augmented,selective,identical,1768361
Simple,caso25e.txt,Augmented,role-blind,identical,1779336
Simple,caso25e.txt,Matrix-only,selective,identical,1729774
Simple,caso25e.txt,Matrix-only,role-blind,identical,1729774
Simple,caso25f.txt,Augmented,selective,identical,1768361
Simple,caso25f.txt,Augmented,role-blind,identical,1779336
Simple,caso25f.txt,Matrix-only,selective,identical,1729774
Simple,caso25f.txt,Matrix-only,role-blind,identical,1729774
Simple,caso26a.txt,Augmented,selective,identical,1768395
Simple,caso26a.txt,Augmented,role-blind,identical,1779214
Simple,caso26a.txt,Matrix-only,selective,identical,1731166
Simple,caso26a.txt,Matrix-only,role-blind,identical,1731166
Simple,caso26b.txt,Augmented,selective,identical,1768395
Simple,caso26b.txt,Augmented,role-blind,identical,1779214
Simple,caso26b.txt,Matrix-only,selective,identical,1731166
Simple,caso26b.txt,Matrix-only,role-blind,identical,1731166
Simple,caso26c.txt,Augmented,selective,identical,1768395
Simple,caso26c.txt,Augmented,role-blind,identical,1779214
Simple,caso26c.txt,Matrix-only,selective,identical,1731166
Simple,caso26c.txt,Matrix-only,role-blind,identical,1731166
Simple,caso26d.txt,Augmented,selective,identical,1768510
Simple,caso26d.txt,Augmented,role-blind,identical,1779274
Simple,caso26d.txt,Matrix-only,selective,identical,1731281
Simple,caso26d.txt,Matrix-only,role-blind,identical,1731281
Simple,caso26e.txt,Augmented,selective,identical,1768510
Simple,caso26e.txt,Augmented,role-blind,identical,1779274
Simple,caso26e.txt,Matrix-only,selective,identical,1731281
Simple,caso26e.txt,Matrix-only,role-blind,identical,1731281
Simple,caso26f.txt,Augmented,selective,identical,1768510
Simple,caso26f.txt,Augmented,role-blind,identical,1779274
Simple,caso26f.txt,Matrix-only,selective,identical,1731281
Simple,caso26f.txt,Matrix-only,role-blind,identical,1731281
Simple,caso27a.txt,Augmented,selective,identical,1779034
Simple,caso27a.txt,Augmented,role-blind,identical,1785775
Simple,caso27a.txt,Matrix-only,selective,identical,1732952
Simple,caso27a.txt,Matrix-only,role-blind,identical,1732952
Simple,caso27b.txt,Augmented,selective,identical,1779034
Simple,caso27b.txt,Augmented,role-blind,identical,1785775
Simple,caso27b.txt,Matrix-only,selective,identical,1732952
Simple,caso27b.txt,Matrix-only,role-blind,identical,1732952
Simple,caso27c.txt,Augmented,selective,identical,1779034
Simple,caso27c.txt,Augmented,role-blind,identical,1785775
Simple,caso27c.txt,Matrix-only,selective,identical,1732952
Simple,caso27c.txt,Matrix-only,role-blind,identical,1732952
Simple,caso27d.txt,Augmented,selective,identical,1779228
Simple,caso27d.txt,Augmented,role-blind,identical,1790199
Simple,caso27d.txt,Matrix-only,selective,identical,1733146
Simple,caso27d.txt,Matrix-only,role-blind,identical,1733146
Simple,caso27e.txt,Augmented,selective,identical,1779228
Simple,caso27e.txt,Augmented,role-blind,identical,1790199
Simple,caso27e.txt,Matrix-only,selective,identical,1733146
Simple,caso27e.txt,Matrix-only,role-blind,identical,1733146
Simple,caso27f.txt,Augmented,selective,identical,1779228
Simple,caso27f.txt,Augmented,role-blind,identical,1790199
Simple,caso27f.txt,Matrix-only,selective,identical,1733146
Simple,caso27f.txt,Matrix-only,role-blind,identical,1733146
Simple,caso28a.txt,Augmented,selective,identical,1760085
Simple,caso28a.txt,Augmented,role-blind,identical,1768148
Simple,caso28a.txt,Matrix-only,selective,identical,1730472
Simple,caso28a.txt,Matrix-only,role-blind,identical,1730472
Simple,caso28b.txt,Augmented,selective,identical,1760085
Simple,caso28b.txt,Augmented,role-blind,identical,1768148
Simple,caso28b.txt,Matrix-only,selective,identical,1730472
Simple,caso28b.txt,Matrix-only,role-blind,identical,1730472
Simple,caso28c.txt,Augmented,selective,identical,1760085
Simple,caso28c.txt,Augmented,role-blind,identical,1768148
Simple,caso28c.txt,Matrix-only,selective,identical,1730472
Simple,caso28c.txt,Matrix-only,role-blind,identical,1730472
Simple,caso28d.txt,Augmented,selective,identical,1760349
Simple,caso28d.txt,Augmented,role-blind,identical,1771364
Simple,caso28d.txt,Matrix-only,selective,identical,1730736
Simple,caso28d.txt,Matrix-only,role-blind,identical,1730736
Simple,caso28e.txt,Augmented,selective,identical,1760349
Simple,caso28e.txt,Augmented,role-blind,identical,1771364
Simple,caso28e.txt,Matrix-only,selective,identical,1730736
Simple,caso28e.txt,Matrix-only,role-blind,identical,1730736
Simple,caso28f.txt,Augmented,selective,identical,1760349
Simple,caso28f.txt,Augmented,role-blind,identical,1771364
Simple,caso28f.txt,Matrix-only,selective,identical,1730736
