class,instance,kernel,reps_sa,reps_flat,median_sa_s,median_flat_s,median_diff_s,min_sa_s,min_flat_s,cv_sa,cv_flat
Simple,caso19e.txt,Augmented,20,20,0.374016,0.039687,0.334329,0.206827,0.015566,0.3203,1.1642
Simple,caso19e.txt,Matrix-only,20,20,0.335678,0.092034,0.243644,0.207636,0.015190,0.2814,0.5191
Simple,caso19f.txt,Augmented,20,20,0.372057,0.058837,0.313220,0.215684,0.015408,0.3072,0.7627
Simple,caso19f.txt,Matrix-only,20,20,0.322645,0.088104,0.234542,0.206933,0.015952,0.4164,0.5505
Simple,caso20a.txt,Augmented,20,20,0.366753,0.069799,0.296953,0.291999,0.014412,0.2545,0.8836
Simple,caso20a.txt,Matrix-only,20,20,0.328543,0.086523,0.242020,0.203268,0.015633,0.2517,0.4690
Simple,caso20b.txt,Augmented,20,20,0.337136,0.057078,0.280058,0.184181,0.015168,0.5112,0.8360
Simple,caso20b.txt,Matrix-only,20,20,0.369262,0.073366,0.295896,0.204364,0.013652,0.3610,0.5625
Simple,caso20c.txt,Augmented,20,20,0.370983,0.038775,0.332208,0.204319,0.015757,0.3773,0.9242
Simple,caso20c.txt,Matrix-only,20,20,0.318299,0.062276,0.256023,0.240561,0.014100,0.3454,0.7650
Simple,caso20d.txt,Augmented,20,20,0.384166,0.062184,0.321982,0.227019,0.015208,0.3065,0.7396
Simple,caso20d.txt,Matrix-only,20,20,0.342241,0.039449,0.302792,0.215158,0.010237,0.3172,1.1267
Simple,caso20e.txt,Augmented,20,20,0.339266,0.055009,0.284257,0.207628,0.014948,0.3948,0.7364
Simple,caso20e.txt,Matrix-only,20,20,0.330970,0.062329,0.268642,0.139036,0.014414,0.2968,0.6902
Simple,caso20f.txt,Augmented,20,20,0.388766,0.066049,0.322716,0.203613,0.013695,0.3691,0.6622
Simple,caso20f.txt,Matrix-only,20,20,0.351193,0.075321,0.275872,0.206644,0.014537,0.3250,0.5897
Simple,caso21a.txt,Augmented,20,20,0.306571,0.094585,0.211986,0.213413,0.014651,0.2445,0.4427
Simple,caso21a.txt,Matrix-only,20,20,0.342850,0.074106,0.268744,0.253387,0.014761,0.2603,0.5657
Simple,caso21b.txt,Augmented,20,20,0.370169,0.095571,0.274599,0.203536,0.014774,0.2528,0.5357
Simple,caso21b.txt,Matrix-only,20,20,0.335981,0.050575,0.285406,0.202602,0.014705,0.2546,0.7598
Simple,caso21c.txt,Augmented,20,20,0.333680,0.066237,0.267443,0.269998,0.014347,0.2391,0.5906
Simple,caso21c.txt,Matrix-only,20,20,0.367550,0.052568,0.314981,0.198676,0.015500,0.2395,0.7998
Simple,caso21d.txt,Augmented,20,20,0.335344,0.082151,0.253193,0.232388,0.014623,0.2494,0.5439
Simple,caso21d.txt,Matrix-only,20,20,0.335462,0.047445,0.288017,0.206847,0.014699,0.2677,0.9111
Simple,caso21e.txt,Augmented,20,20,0.332100,0.034929,0.297171,0.212541,0.015017,0.2511,1.2796
Simple,caso21e.txt,Matrix-only,20,20,0.336184,0.044051,0.292133,0.192744,0.014847,0.3506,0.8426
Simple,caso21f.txt,Augmented,20,20,0.339540,0.044035,0.295505,0.174596,0.015045,0.2124,0.9768
Simple,caso21f.txt,Matrix-only,20,20,0.349534,0.043385,0.306150,0.186766,0.014921,0.2562,0.9843
Simple,caso22a.txt,Augmented,20,20,0.320589,0.074071,0.246518,0.216516,0.015150,0.3634,0.6817
Simple,caso22a.txt,Matrix-only,20,20,0.352068,0.074173,0.277896,0.229892,0.015054,0.2816,0.5573
Simple,caso22b.txt,Augmented,20,20,0.336252,0.026484,0.309768,0.209025,0.014455,0.2137,1.4104
Simple,caso22b.txt,Matrix-only,20,20,0.373010,0.059449,0.313561,0.202845,0.014472,0.2950,0.7716
Simple,caso22c.txt,Augmented,20,20,0.320702,0.055797,0.264905,0.118293,0.014957,0.3026,0.8041
Simple,caso22c.txt,Matrix-only,20,20,0.338842,0.061449,0.277393,0.216071,0.014804,0.2464,0.7292
Simple,caso22d.txt,Augmented,20,20,0.316524,0.044176,0.272348,0.190524,0.015146,0.3576,0.8848
Simple,caso22d.txt,Matrix-only,20,20,0.347330,0.053753,0.293577,0.216842,0.013112,0.2818,0.8202
Simple,caso22e.txt,Augmented,20,20,0.305377,0.036944,0.268433,0.198083,0.014419,0.2922,1.2871
Simple,caso22e.txt,Matrix-only,20,20,0.371387,0.056808,0.314579,0.218821,0.014554,0.2311,0.7266
Simple,caso22f.txt,Augmented,20,20,0.346387,0.052067,0.294321,0.204154,0.020108,0.2177,0.7847
Simple,caso22f.txt,Matrix-only,20,20,0.324704,0.087857,0.236847,0.220962,0.014693,0.2400,0.4700
Simple,caso23a.txt,Augmented,20,20,0.358780,0.046398,0.312381,0.222514,0.014601,0.2209,1.1135
Simple,caso23a.txt,Matrix-only,20,20,0.293819,0.052064,0.241755,0.167216,0.014641,0.3444,0.7764
Simple,caso23b.txt,Augmented,20,20,0.343215,0.061657,0.281558,0.210368,0.014655,0.3637,0.7380
Simple,caso23b.txt,Matrix-only,20,20,0.352867,0.068244,0.284624,0.228386,0.015153,0.2114,0.6482
Simple,caso23c.txt,Augmented,20,20,0.328117,0.034374,0.293744,0.212636,0.014555,0.2319,1.2161
Simple,caso23c.txt,Matrix-only,20,20,0.309320,0.053148,0.256172,0.222398,0.014638,0.3523,0.8574
Simple,caso23d.txt,Augmented,20,20,0.351152,0.037051,0.314102,0.210665,0.014054,0.3040,1.0184
Simple,caso23d.txt,Matrix-only,20,20,0.370796,0.080420,0.290376,0.224942,0.014827,0.2720,0.5443
Simple,caso23e.txt,Augmented,20,20,0.379403,0.047338,0.332066,0.251705,0.014793,0.2496,0.7370
Simple,caso23e.txt,Matrix-only,20,20,0.361792,0.064729,0.297063,0.211135,0.014583,0.2650,0.5987
Simple,caso23f.txt,Augmented,20,20,0.308493,0.059940,0.248553,0.203624,0.014488,0.2697,0.6682
Simple,caso23f.txt,Matrix-only,20,20,0.329926,0.034158,0.295768,0.228404,0.014525,0.3122,1.0954
Simple,caso24a.txt,Augmented,20,20,0.308430,0.066857,0.241573,0.201751,0.015207,0.2530,0.6630
Simple,caso24a.txt,Matrix-only,20,20,0.353787,0.031083,0.322705,0.149370,0.015618,0.2868,1.2635
Simple,caso24b.txt,Augmented,20,20,0.306196,0.111328,0.194867,0.197887,0.014770,0.3174,0.4409
Simple,caso24b.txt,Matrix-only,20,20,0.312434,0.050219,0.262215,0.214121,0.014934,0.2131,0.7841
Simple,caso24c.txt,Augmented,20,20,0.354287,0.075378,0.278910,0.207168,0.015693,0.3408,0.4894
Simple,caso24c.txt,Matrix-only,20,20,0.309997,0.048655,0.261342,0.210288,0.015245,0.3478,0.9640
Simple,caso24d.txt,Augmented,20,20,0.330357,0.046378,0.283980,0.210085,0.014975,0.2560,0.8172
Simple,caso24d.txt,Matrix-only,20,20,0.330023,0.082077,0.247946,0.178043,0.011697,0.3256,0.5054
Simple,caso24e.txt,Augmented,20,20,0.341102,0.097089,0.244012,0.195532,0.014406,0.2721,0.4556
Simple,caso24e.txt,Matrix-only,20,20,0.340585,0.057836,0.282748,0.114055,0.014729,0.3186,0.6924
Simple,caso24f.txt,Augmented,20,20,0.349913,0.090037,0.259876,0.209156,0.014843,0.3651,0.4964
Simple,caso24f.txt,Matrix-only,20,20,0.399125,0.049854,0.349271,0.218701,0.014822,0.2480,0.9256
Simple,caso25a.txt,Augmented,20,20,0.322338,0.061482,0.260857,0.193262,0.015035,0.2213,0.5621
Simple,caso25a.txt,Matrix-only,20,20,0.318932,0.062811,0.256121,0.228727,0.014954,0.1811,0.6490
Simple,caso25b.txt,Augmented,20,20,0.335701,0.065064,0.270637,0.205974,0.014819,0.2073,0.6506
Simple,caso25b.txt,Matrix-only,20,20,0.361830,0.100215,0.261615,0.288680,0.015574,0.2238,0.4629
Simple,caso25c.txt,Augmented,20,20,0.333949,0.078896,0.255053,0.195473,0.014024,0.2581,0.5896
Simple,caso25c.txt,Matrix-only,20,20,0.360439,0.042358,0.318081,0.199979,0.014446,0.3214,0.9316
Simple,caso25d.txt,Augmented,20,20,0.361673,0.101359,0.260314,0.278350,0.015053,0.2259,0.4352
Simple,caso25d.txt,Matrix-only,20,20,0.320254,0.041537,0.278716,0.210268,0.014810,0.2465,1.1172
Simple,caso25e.txt,Augmented,20,20,0.327758,0.054998,0.272759,0.202524,0.015372,0.3078,0.6169
Simple,caso25e.txt,Matrix-only,20,20,0.339795,0.068571,0.271224,0.216666,0.014988,0.2877,0.7009
Simple,caso25f.txt,Augmented,20,20,0.291417,0.071309,0.220107,0.198385,0.026629,0.2529,0.4813
Simple,caso25f.txt,Matrix-only,20,20,0.368278,0.046362,0.321916,0.205347,0.017717,0.2655,0.9220
Simple,caso26a.txt,Augmented,20,20,0.348387,0.068083,0.280303,0.136375,0.014351,0.2708,0.5940
Simple,caso26a.txt,Matrix-only,20,20,0.386921,0.059600,0.327321,0.206590,0.014146,0.2367,0.6877
Simple,caso26b.txt,Augmented,20,20,0.348804,0.067612,0.281193,0.265844,0.016601,0.2725,0.5856
Simple,caso26b.txt,Matrix-only,20,20,0.339164,0.076961,0.262203,0.208118,0.014648,0.3413,0.5402
Simple,caso26c.txt,Augmented,20,20,0.316060,0.056808,0.259253,0.224532,0.014952,0.2459,0.8303
Simple,caso26c.txt,Matrix-only,20,20,0.319862,0.057086,0.262776,0.206148,0.011679,0.2101,0.7590
Simple,caso26d.txt,Augmented,20,20,0.312442,0.041220,0.271222,0.186581,0.014981,0.2853,0.8830
Simple,caso26d.txt,Matrix-only,20,20,0.314640,0.063222,0.251419,0.198395,0.017078,0.3353,0.5674
Simple,caso26e.txt,Augmented,20,20,0.327995,0.044027,0.283968,0.202238,0.014628,0.2848,0.9585
