instance,variant,rows,cols,sigma_max,sigma_min,sigma_min_pos,kappa2,kappa2_pos,range_proxy,rank_deficient
coupling_heterogeneo_S6_seed1005,Base,123,124,1927524.7828397308,9.906249098599767e-19,2.4604191822444123e-06,1.9457665193500773e+24,783413166646.4365,116625684052868.34,1
coupling_heterogeneo_S6_seed1005,Flat,123,124,636632.7962360276,4.07878044784687e-22,1.1444150397186022e-06,1.560841051329686e+27,556295377237.0624,29764776028355.457,1
coupling_heterogeneo_S6_seed1005,Ruiz,123,124,1927524.7826477787,8.482525055690961e-23,3.763796349725064e-05,2.272347879897619e+28,51212249642.268234,116625684052868.34,1
coupling_heterogeneo_S6_seed1005,SAAug,123,124,1927524.7826477718,7.918042902588214e-23,3.907257367640913e-05,2.434344959178879e+28,49331912420.49034,116625684052868.34,1
coupling_heterogeneo_S6_seed1005,SAMat,123,124,1927524.7826485652,5.381195267736191e-22,1.3033546099474349e-05,3.581964018673222e+27,147889512795.47043,1564967547551790.0,1
coupling_heterogeneo_S6_seed1006,Base,123,124,32835174.172092322,9.329634359133185e-20,0.0007051234855153991,3.51944919898694e+26,46566558690.20156,39900943930460.25,1
coupling_heterogeneo_S6_seed1006,Flat,123,124,15672.591899961528,6.10990659282521e-21,4.0881642303223124e-05,2.565111538426081e+24,383365026.86747235,19045879287.71407,1
coupling_heterogeneo_S6_seed1006,Ruiz,123,124,833219.059332559,2.478771978117004e-25,4.4708987293048456e-05,3.361418745606092e+30,18636500394.678173,120289308084431.84,1
coupling_heterogeneo_S6_seed1006,SAAug,123,124,833219.0593325333,1.2587519523830224e-21,4.088159772125982e-05,6.61940629172502e+26,20381274357.563354,120289308084431.84,1
coupling_heterogeneo_S6_seed1006,SAMat,123,124,32835174.17129591,1.2704738814383254e-18,0.0004944130328597112,2.584482424315771e+25,66412436543.94691,39900943930460.25,1
coupling_heterogeneo_S6_seed1007,Base,123,126,6448155.916569658,8.38492475020344e-15,0.00012128210494251453,7.690177441858627e+20,53166589742.36936,2132159807720.1921,1
coupling_heterogeneo_S6_seed1007,Flat,123,126,322296.98529000516,2.1353914351261491e-16,7.516413147301248e-06,1.509311033042358e+21,42879093920.71206,2132159807736.1494,1
coupling_heterogeneo_S6_seed1007,Ruiz,123,126,6448155.916525667,2.758462272109804e-16,0.0013367297279887089,2.337590759069475e+22,4823829216.567056,1188018545634796.8,1
coupling_heterogeneo_S6_seed1007,SAAug,123,126,6448155.916525666,1.006753027180016e-15,0.001697140940119157,6.404903429580332e+21,3799422761.0070724,1188018545634796.8,1
coupling_heterogeneo_S6_seed1007,SAMat,123,126,6448155.916525985,2.2323099481358256e-15,5.2151483940843375e-05,2.8885576225249365e+21,123642808013.67563,28838587776686.516,1
coupling_heterogeneo_S6_seed1008,Base,123,124,4495727.725054057,4.691636304879754e-19,7.000799776123007e-06,9.582430164883128e+24,642173447152.028,114511584078922.86,1
coupling_heterogeneo_S6_seed1008,Flat,123,124,83390.53882692121,1.2610270020563947e-18,5.390095416258333e-07,6.612906677726468e+22,154710691345.81073,431303371317.6059,1
coupling_heterogeneo_S6_seed1008,Ruiz,123,124,4495727.7250438,9.019230950124793e-19,0.0011106834789061726,4.984602068518487e+24,4047712791.650866,114511584078922.86,1
coupling_heterogeneo_S6_seed1008,SAAug,123,124,4495727.7250438,3.0651971802495846e-18,0.0010685366215997586,1.4667009855064965e+24,4207368876.4293594,114511584078922.86,1
coupling_heterogeneo_S6_seed1008,SAMat,123,124,4495727.725044351,5.457299260379317e-16,1.1144416987659907e-05,8.238008418713452e+21,403406273295.62616,114511584078922.86,1
coupling_heterogeneo_S6_seed1009,Base,123,126,4981078.688286784,1.4553787811048583e-15,9.076746619009562e-06,3.422530789204837e+21,548773574647.8632,1128052087242.2375,1
coupling_heterogeneo_S6_seed1009,Flat,123,126,196905.22878539932,2.1488254130062146e-16,1.3996962982035145e-06,9.16338887252493e+20,140677109054.3882,1128052087257.2722,1
coupling_heterogeneo_S6_seed1009,Ruiz,123,126,4981078.688129323,1.8111781764131433e-18,0.008125614842750796,2.7501870069977596e+24,613009450.3030934,44427101459982.58,1
coupling_heterogeneo_S6_seed1009,SAAug,123,126,4981078.688129318,6.089608021414585e-16,0.0070785604987492565,8.179637623001289e+21,703685260.443765,44427101459982.58,1
coupling_heterogeneo_S6_seed1009,SAMat,123,126,4981078.688129441,1.4249689290726176e-15,1.2315815271932195e-05,3.4955700341979884e+21,404445712942.88116,2194164634871828.5,1
